year,unit_id,name,unit_type,admin_parent,population,urban_pop,rural_pop,urban_share,area_km2,density,rail_length_km,rail_density_km_1000,rail_segments_count,population_source_year,population_source_unit,population_basis,population_quality,population_method,population_note,population_source,population_reconstruction_version,population_recalc_note,urban_pop_method,urban_pop_source,merged_city_names_v114
1765,adm_1765_016,Нарымский уезд,уезд,Тобольская провинция,,,,,111182.021,,0,0,0,,,,,,,,,,,,
1765,adm_1765_017,Пелымский уезд,уезд,Тобольская провинция,,,,,98172.21,,0,0,0,,,,,,,,,,,,
1765,adm_1765_018,Тобольский уезд,уезд,Тобольская провинция,,,,,240091.37,,0,0,0,,,,,,,,,,,,
1765,adm_1765_019,Тюменский уезд,уезд,Тобольская провинция,,,,,23903.617,,0,0,0,,,,,,,,,,,,
1780,adm_1780_001,Енисейская провинция,провинция,Колыванская область,,,,,2518027.727,,0,0,0,,,,,,,,,,,,
1780,adm_1780_002,Тобольская провинция,провинция,Колыванская область,,,,,1636340.414,,0,0,0,,,,,,,,,,,,
1780,adm_1780_003,Барнаульский уезд,уезд,Колыванская область,,,,,240907.313,,0,0,0,,,,,,,,,,,,
1780,adm_1780_004,Бурлинский уезд,уезд,Колыванская область,,,,,190172.323,,0,0,0,,,,,,,,,,,,
1780,adm_1780_005,Кузнецкий уезд,уезд,Колыванская область,,,,,177795.175,,0,0,0,,,,,,,,,,,,
1780,adm_1780_006,Томский уезд,уезд,Колыванская область,,,,,91658.046,,0,0,0,,,,,,,,,,,,
1780,adm_1780_007,Ирбитский уезд,уезд,Колыванская область,,,,,8020.99,,0,0,0,,,,,,,,,,,,
1780,adm_1780_008,Часть обозначенная в составе Тобольской провинции в 1775,провинция,Колыванская область,,,,,115111.642,,0,0,0,,,,,,,,,,,,
1780,adm_1780_009,Волости двоеданцев,волость,Колыванская область,,,,,6944.367,,0,0,0,,,,,,,,,,,,
1780,adm_1780_010,Кузнецкий уезд,уезд,Колыванская область,,,,,0.0,,0,0,0,,,,,,,,,,,,
1780,adm_1780_011,Волости двоеданцев,волость,Колыванская область,,,,,4651.417,,0,0,0,,,,,,,,,,,,
1780,adm_1780_012,Пограничная территория Российской империи и империи Цин,пограничная территория,Колыванская область,,,,,2196.983,,0,0,0,,,,,,,,,,,,
1783,adm_1783_001,Туруханский уезд,уезд,Тобольское наместничество,2196,,,,1887536.815,0.001163,0,0,0,1785,Тобольское наместничество,оба пола; губернский/наместнический контроль,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,Контроль относится к Тобольскому наместничеству; распределено по регулярным уездам слоя 1783.,"БРЭ: Тобольская губерния / Тобольское наместничество, население свыше 514,7 тыс. чел. в 1785 г.",v109,,,,
1783,adm_1783_002,Берёзовский уезд,уезд,Тобольское наместничество,6363,,,,658379.351,0.009665,0,0,0,1785,Тобольское наместничество,оба пола; губернский/наместнический контроль,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,Контроль относится к Тобольскому наместничеству; распределено по регулярным уездам слоя 1783.,"БРЭ: Тобольская губерния / Тобольское наместничество, население свыше 514,7 тыс. чел. в 1785 г.",v109,,,,
